poly cost,gaus cost,sigm cost
0.0922862,0.0667701,0.0657198
0.0922083,0.0667321,0.0656864
0.0921306,0.0666942,0.065653
0.0920531,0.0666564,0.0656197
0.0919758,0.0666187,0.0655866
0.0918987,0.0665812,0.0655535
0.0918218,0.0665438,0.0655206
0.0917452,0.0665064,0.0654877
0.0916687,0.0664692,0.0654549
0.0915924,0.0664321,0.0654223
0.0915164,0.0663952,0.0653897
0.0914405,0.0663583,0.0653572
0.0913649,0.0663215,0.0653249
0.0912894,0.0662849,0.0652926
0.0912142,0.0662484,0.0652604
0.0911392,0.0662119,0.0652284
0.0910643,0.0661756,0.0651964
0.0909897,0.0661394,0.0651645
0.0909152,0.0661033,0.0651327
0.090841,0.0660673,0.065101
0.0907669,0.0660315,0.0650694
0.090693,0.0659957,0.0650379
0.0906194,0.06596,0.0650065
0.0905459,0.0659245,0.0649752
0.0904726,0.065889,0.0649439
0.0903995,0.0658537,0.0649128
0.0903266,0.0658185,0.0648817
0.0902539,0.0657833,0.0648508
0.0901814,0.0657483,0.0648199
0.090109,0.0657134,0.0647891
0.0900369,0.0656786,0.0647585
0.0899649,0.0656438,0.0647279
0.0898932,0.0656092,0.0646974
0.0898216,0.0655747,0.0646669
0.0897502,0.0655403,0.0646366
0.0896789,0.065506,0.0646064
0.0896079,0.0654718,0.0645762
0.0895371,0.0654377,0.0645462
0.0894664,0.0654036,0.0645162
0.0893959,0.0653697,0.0644863
0.0893256,0.0653359,0.0644565
0.0892554,0.0653022,0.0644268
0.0891855,0.0652686,0.0643971
0.0891157,0.0652351,0.0643676
0.0890461,0.0652016,0.0643381
0.0889767,0.0651683,0.0643088
0.0889074,0.0651351,0.0642795
0.0888384,0.065102,0.0642502
0.0887695,0.0650689,0.0642211
0.0887007,0.065036,0.0641921
0.0886322,0.0650031,0.0641631
0.0885638,0.0649704,0.0641342
0.0884956,0.0649377,0.0641054
0.0884276,0.0649051,0.0640767
0.0883597,0.0648727,0.0640481
0.088292,0.0648403,0.0640195
0.0882245,0.064808,0.0639911
0.0881571,0.0647758,0.0639627
0.0880899,0.0647437,0.0639343
0.0880229,0.0647117,0.0639061
0.0879561,0.0646797,0.063878
0.0878894,0.0646479,0.0638499
0.0878228,0.0646162,0.0638219
0.0877565,0.0645845,0.063794
